source,lat1,lon1,dest,lat2,lon2
LJG,26.68000031,100.2460022,CTU,30.57850075,103.9469986
LJG,26.68000031,100.2460022,MIG,31.42810059,104.7409973
LUM,24.4011,98.5317,CTU,30.57850075,103.9469986
LUM,24.4011,98.5317,KMG,25.1019444,102.9291667
LXA,29.29780006,90.91190338,CKG,29.71920013,106.6419983
LXA,29.29780006,90.91190338,CTU,30.57850075,103.9469986
LXA,29.29780006,90.91190338,GXH,34.8105,102.6447
LXA,29.29780006,90.91190338,XIY,34.447102,108.751999
LXA,29.29780006,90.91190338,XNN,36.5275,102.042999
LYI,35.04610062,118.4120026,XIY,34.447102,108.751999
LZY,29.30330086,94.33529663,CTU,30.57850075,103.9469986
MIG,31.42810059,104.7409973,LJG,26.68000031,100.2460022
MIG,31.42810059,104.7409973,NKG,31.74200058,118.8619995
MIG,31.42810059,104.7409973,SYX,18.30290031,109.4120026
MIG,31.42810059,104.7409973,XNN,36.5275,102.042999
NGB,29.82670021,121.461998,CKG,29.71920013,106.6419983
NGB,29.82670021,121.461998,HAK,19.93490028,110.4589996
NGB,29.82670021,121.461998,HRB,45.62340164,126.25
NGB,29.82670021,121.461998,KHN,28.86499977,115.9000015
NGB,29.82670021,121.461998,KMG,25.1019444,102.9291667
NGB,29.82670021,121.461998,SHE,41.63980103,123.4830017
NGB,29.82670021,121.461998,SYX,18.30290031,109.4120026
NKG,31.74200058,118.8619995,CGQ,43.99620056,125.6849976
NKG,31.74200058,118.8619995,CKG,29.71920013,106.6419983
NKG,31.74200058,118.8619995,CTU,30.57850075,103.9469986
NKG,31.74200058,118.8619995,DYG,29.1028,110.443001
NKG,31.74200058,118.8619995,HRB,45.62340164,126.25
NKG,31.74200058,118.8619995,KMG,25.1019444,102.9291667
NKG,31.74200058,118.8619995,MIG,31.42810059,104.7409973
NKG,31.74200058,118.8619995,SYX,18.30290031,109.4120026
NNG,22.60829926,108.1719971,CKG,29.71920013,106.6419983
NNG,22.60829926,108.1719971,CTU,30.57850075,103.9469986
NNG,22.60829926,108.1719971,WUH,30.7838,114.208
NZH,49.566667,117.33,HRB,45.62340164,126.25
PEK,40.08010101,116.5849991,CKG,29.71920013,106.6419983
PEK,40.08010101,116.5849991,CTU,30.57850075,103.9469986
PEK,40.08010101,116.5849991,WXN,30.8017,108.433
PEK,40.08010101,116.5849991,ZHY,37.573125,105.154454
PVG,31.14340019,121.8050003,CKG,29.71920013,106.6419983
PVG,31.14340019,121.8050003,CTU,30.57850075,103.9469986
PZI,26.54,101.79852,CKG,29.71920013,106.6419983
PZI,26.54,101.79852,CTU,30.57850075,103.9469986
SHE,41.63980103,123.4830017,CSX,28.18919945,113.2200012
SHE,41.63980103,123.4830017,CTU,30.57850075,103.9469986
SHE,41.63980103,123.4830017,DSN,39.49,109.8613889
SHE,41.63980103,123.4830017,NGB,29.82670021,121.461998
SHE,41.63980103,123.4830017,TYN,37.74689865,112.6279984
SHE,41.63980103,123.4830017,XUZ,34.059056,117.555278
SJW,38.28070068,114.6969986,CTU,30.57850075,103.9469986
SJW,38.28070068,114.6969986,HRB,45.62340164,126.25
SJW,38.28070068,114.6969986,KWL,25.21809959,110.0390015
SWA,23.552,116.5033,CKG,29.71920013,106.6419983
SYX,18.30290031,109.4120026,CKG,29.71920013,106.6419983
